X Density
0.005 2.996464879
0.015 2.993917439
0.025 2.990079182
0.035 2.984290093
0.045 2.975766392
0.055 2.963520459
0.065 2.946343874
0.075 2.922812713
0.085 2.891318368
0.095 2.850129373
0.105 2.797487345
0.115 2.731735863
0.125 2.651475647
0.135 2.555733397
0.145 2.444126184
0.155 2.31699971
0.165 2.175518127
0.175 2.021686341
0.185 1.858292733
0.195 1.688770399
0.205 1.516986666
0.215 1.346981709
0.225 1.182685422
0.235 1.027645539
0.245 0.8847984904
0.255 0.756307913
0.265 0.6434853524
0.275 0.5467956693
0.285 0.465938155
0.295 0.3999854709
0.305 0.3475574765
0.315 0.3070061752
0.325 0.2765908393
0.335 0.2546277147
0.345 0.2396051
0.355 0.2302606851
0.365 0.225622837
0.375 0.2250205416
0.385 0.2280679728
0.395 0.2346295507
0.405 0.2447704976
0.415 0.2586969036
0.425 0.2766886957
0.435 0.2990288974
0.445 0.3259331629
0.455 0.3574844954
0.465 0.3935788823
0.475 0.4338878199
0.485 0.4778429756
0.495 0.5246463831
0.505 0.5733067124
0.515 0.6226987139
0.525 0.671639555
0.535 0.7189731193
0.545 0.7636520435
0.555 0.8048076121
0.565 0.8417996071
0.575 0.8742414076
0.585 0.9019994194
0.595 0.9251695437
0.605 0.944036214
0.615 0.9590211263
0.625 0.970629024
0.635 0.979396949
0.645 0.9858516096
0.655 0.9904773924
0.665 0.9936955135
0.675 0.9958531642
0.685 0.9972204472
0.695 0.9979924288
0.705 0.998293672
0.715 0.9981830284
0.725 0.9976571006
0.735 0.9966515254
0.745 0.9950399892
0.755 0.9926316195
0.765 0.98916806
0.775 0.9843220977
0.785 0.9777000893
0.795 0.9688505467
0.805 0.9572809834
0.815 0.9424843945
0.825 0.9239755313
0.835 0.9013354844
0.845 0.8742612094
0.855 0.8426148084
0.865 0.8064659871
0.875 0.7661204511
0.885 0.722127207
0.895 0.6752584438
0.905 0.6264558138
0.915 0.5767334578
0.925 0.5270172368
0.935 0.4778577352
0.945 0.4289129827
0.955 0.3776714101
0.965 0.3176649658
0.975 0.228724432
0.985 0.08543683672
0.995 -0.2894772736
1.005 -2.289477274
