X Density
0.005 3
0.015 3
0.025 3
0.035 3
0.045 3
0.055 3
0.065 3
0.075 3
0.085 3
0.095 2.999999999
0.105 2.999999999
0.115 2.999999999
0.125 2.999999998
0.135 2.999999997
0.145 2.999999995
0.155 2.999999992
0.165 2.999999988
0.175 2.999999982
0.185 2.999999972
0.195 2.999999959
0.205 2.999999939
0.215 2.99999991
0.225 2.999999868
0.235 2.999999806
0.245 2.999999718
0.255 2.999999592
0.265 2.999999412
0.275 2.999999157
0.285 2.999998797
0.295 2.999998291
0.305 2.999997584
0.315 2.999996599
0.325 2.999995236
0.335 2.999993358
0.345 2.999990782
0.355 2.999987265
0.365 2.999982485
0.375 2.999976022
0.385 2.999967323
0.395 2.999955668
0.405 2.999940128
0.415 2.999919503
0.425 2.999892259
0.435 2.99985644
0.445 2.999809567
0.455 2.999748518
0.465 2.999669377
0.475 2.999567264
0.485 2.999436128
0.495 2.999268513
0.505 2.999055276
0.515 2.998785275
0.525 2.998445007
0.535 2.998018207
0.545 2.99748539
0.555 2.996823361
0.565 2.996004671
0.575 2.994997033
0.585 2.993762711
0.595 2.992257876
0.605 2.990431945
0.615 2.988226933
0.625 2.985576806
0.635 2.982406882
0.645 2.978633294
0.655 2.974162543
0.665 2.968891165
0.675 2.962705556
0.685 2.955481978
0.695 2.947086788
0.705 2.937376907
0.715 2.926200578
0.725 2.913398428
0.735 2.898804853
0.745 2.882249747
0.755 2.863560578
0.765 2.842564798
0.775 2.819092587
0.785 2.792979883
0.795 2.764071671
0.805 2.732225477
0.815 2.697314984
0.825 2.659233716
0.835 2.617898676
0.845 2.573253856
0.855 2.525273518
0.865 2.473965142
0.875 2.419371994
0.885 2.361575383
0.895 2.300697057
0.905 2.236903273
0.915 2.170415284
0.925 2.101538438
0.935 2.030750269
0.945 1.958916954
0.955 1.888037944
0.965 1.822368909
0.975 1.776144642
0.985 1.767336926
0.995 1.94703344
1.005 -0.05296655951
